selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
100,27.59,0,TELALEO   Pack Workout Tank Tops For Women Sleeveless Athletic Yoga Gym Tank Tops Quick Dry Loose Fit Sports Shirts,,,
,15.67,0.25,SHEIN Daily Casual Women s Three Piece Sportswear Set,8,in Criss Cross Women Sports Sets,
,10.64,0.25,VUTRU Women s Slim Fit Athletic Jacket With Thumbholes Compression Shirt,8,in Plain Women Active Tops,15
60,1.96,0.22,pc Golf Tee Holder  Golf Ball Carry Bag Pouch Golf Ball Holder Keychain Belt Clip  Golf Gifts Accessories,,,
700,8.49,0.43,SHEIN Daily Casual  pcs Solid Crop Sports Bra,,,9
2200,7.57,0.25,SHEIN Sport Gameset Solid Pleated Sports Skort,,,
900,14.55,0.31,SHEIN Sport Gameset Plus Size Women Summer Solid Color Casual Round Neck Sporty Tank Top   Piece Set,,,
40,1.9,0.05,pcs Set Black And White Portable Mini Clear Zipper Key Pouch Keychain  Compact Multi Function Storage Bag  Earphone And Charger Case With Keychain  Transparent Travel Accessory,,,
400,6.11,0.47,Piece Adult Pool Floating Chair Pool Float Boat Inflatable Floating Row Backrest Foldable Chair Portable Lounge Chair Floating Bed Multifunctional Water Hammock Pool Float Boat,,,
300,15.14,0.25,Women Slogan Printed Crop Top  High Waist Leggings And Solid Color Back Crossed Crop Top Sports   Piece Set,,,
600,6.22,0.25,SHEIN Sport Seamluxe Women s Seamless Front Closure Crossback Sports Bra,,,
600,6.96,0.44,pc Outdoor Solar Powered Simulation Flower Lily Plug In Lawn Lamp For Yard Garden Lawn Decoration  Multi Colors  Intelligent Light Control,,,
600,0.6,0.6,pcs Women s High Heel Foot Pads Anti Slip Half Insole Forefoot Pad Foot Care Shoe Cushion,,,
60,5.96,0.16,Funny Golf Towel Gift For Dad   Mom  Retirement Gifts For Men   Women Golfer  Funny Golf Towel For Men   Women  Embroidered Golf Towels For Golf Bags With Clip  Golf Diva,,,
100,6.99,0,Women s Moisture Wicking Running Sport Fitness Short Sleeve T Shirt,,,
40,3.27,0.57,New Household Dustproof Food Cover  Multifunctional Pop Up Folding High Density Mesh Tent  Dustproof  Mosquito Proof  Fly Proof  Suitable For Outdoor Use  Kitchen  Restaurant  Party  Picnic  Barbecue  Reusable  Kitchen Supplies,,,
100,5.7,0.25,Shaking Swing Balls Game   Fun Family Outdoor And Indoor Game   Party Supplies For Wedding  Anniversary  Birthday  And Summer Holidays Pool Toys Suitable For Pool Games Pool Party,,,
,18.43,0.27,Men s Casual Sports Sneakers  Non slip White Shoes For All Seasons  Suitable For Students,3,in Men Casual Shoes,5
1400,16.64,0.25,Yoga Trendy Letter Graphic Sports Bra   Tank Top   Leggings,,,
,13.45,0.31,SHEIN Running Plus  pcs Geo Print Curved Hem Sports Tank Top,2,in Regular Fit Plus Size Sports Tops,
200,10.39,0,Women s Solid Color Simple Pleated Sport Skort,,,
,4.61,0.51,Foldable Reflective Sunshade Umbrella For Car Windshield  Queen Size UV Protector Sun Blind Umbrella,3,in Shade Sails,
300,3.76,0.67,pc Four Tube Striped Inflatable Hammock Floating Bed Made Of Pvc Material  Foldable And Suitable For Swimming Pool Leisure Summer Park,,,
,1.62,0.05,piece Drinking Dice  drink game accessory for parties  suitable for parties  outdoor camping  hiking  and Christmas Games party supplies  Convenient for easy carrying  providing you with more enjoyable gaming experience,3,in Dice Games,
600,1.7,0,Universal Waterproof Phone Pouch  Waterproof Phone Case Compatible Compatible With IPhone            Pro Max XS Plus Samsung Galaxy S   Cellphone Up To        D Cellphone Dry Bag For Vacation Compatible With IPhone  Samsung Galaxy  Quantum   Phoenix,,,
,2.65,0.45,pc Draped Fishing Hat Umbrella Large Adult Hat  Head Wearing Umbrella For Men And Women Outdoor Folding Sunny Umbrella Camping Camping Stuff,3,in Camping & Hiking Accessories,
,8.79,0,Men s Summer Thin Quick Dry Running And Basketball Sports Shorts,9,in Loose Men Active Bottoms,5
1100,5.77,0.25,SHEIN Sport Studio Crisscross Back Sports Tank Top,,,4
1000,19.45,0.31,SHEIN Yoga Basic  pcs Seamless High Stretch Sports Set,,,4
100,3.4,0,pc Sun Shade Sliding Cover Hat  Ladies  Simple Linen Herringbone Cap With Uv And Sun Protection  Suitable For Outdoor Travel  Tennis  Sports And Cycling,,,
2000,1.4,0,pcs Women s Sponge Forefoot Inserts To Relieve Pain  Reduce Shoe Size And Enhance Fit  Comfort And Protection For High Heeled Shoes,,,
4800,5.8,0.3,Yoga Basic Plus Wideband Waist Sports Shorts,,,
10,14.42,0.19,Outdoor Leisure Vest Men s New Multi Pocket Breathable Outdoor Sports Coat High Quality Design Leisure Vest Men,,,
100,1.96,0.39,pc Impact Resistant Goggles  Protective Goggles X    Riding Goggles,,,
,0.96,0.56,Waterproof Hair Cutting Cape Apron for Barbers and Salon Stylists   Protects Clothes and Keeps You Dry During Hair Cuts and Beard Shaving,5,in Good Quality Aprons,
6800,9.99,0.14,SHEIN EZwear Women s V Neck Drop Shoulder Fleece Sweatshirt,,,5
300,5.45,0.5,SHEIN Essnce Slogan Graphic Thermal Lined Sweatshirt,,,
