selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,21,0,Nevermore Academy Wednesday Mens T-Shirt,,,15
20,3.84,0.63,Manfinity VDAYZ Men's Vacation Style Loose Printed Beach Shorts,,,4
40,17.29,0.07,Manfinity RSRT Men's Botanical Print Short Sleeve Shirt And Shorts Summer Outfits,,,
2000,11.89,0.13,Manfinity Homme Men Contrast Trim Polo Shirt,,,6
2100,6.79,0.28,Manfinity Homme Men Slogan Graphic Tee,,,
2100,8.09,0.12,Manfinity Homme Men T-Shirts Fit Crew Neck Short Sleeve Slogan Tee Casual Going Out Summer Knit Top,,,13
,21,0,Straight Outta Colts Nation Football  Mens T-Shirt,,,15
4500,7.49,0.13,SHEIN X Hangout Fest Manfinity RSRT Men's Short Sleeve T-Shirt With Palm Tree Print,,,10
500,4.48,0.56,"New Summer Arrival Men Shorts, Simple And Comfortable Elastic Waistband Drawstring Sports Shorts With Letter Print, Running And Fitness Clothing, Mid-Length",,,
1000,5.57,0.46,Manfinity EMRG Loose Fit Men's Cross Print Shorts With Drawstring Waist,,,7
,8.73,0.17,Manfinity RSRT Men T-Shirts Fit Crew Neck Short Sleeve Graphic Tee Palm Tree Casual Fashion Men Clothes Summer,6,in Tropical Men T-Shirts,6
4200,8.19,0.13,Men's Summer Letter Printed Round Neck Short Sleeve Casual T-Shirt,,,5
600,6.85,0.42,Manfinity Homme Men Contrast Cuff Polo Shirt,,,
90,12.39,0.13,Manfinity Homme Men's Summer Solid Color Short Sleeve Casual Commute Polo Shirt,,,5
,7.99,0.13,Manfinity Homme Men's Gradient Short Sleeve T-Shirt For Summer,1,in All Over Print Men T-Shirts,8
2600,9.91,0.26,Manfinity Homme Men Plaid Print Polo Shirt,,,
1000,15.35,0.2,Manfinity RSRT Men's Tropical Plant Print Short Sleeve Shirt And Shorts Set,,,9
1300,16.38,0.16,Manfinity Basics Men's Knitted Casual Round Neck Short Sleeve T-Shirt,,,6
,20,0,Camp Half Blood Long Island Sound Mens T-Shirt,,,14
3900,9.49,0.13,Manfinity Homme Men Solid Waffle Knit Tee,,,16
7800,7.35,0.5,Manfinity Homme Men's Flip Pocket Casual Workwear Cargo Shorts,,,6
90,10.95,0.32,Manfinity Homme Men Solid Turtleneck Sweater,,,4
3400,8.69,0.12,Men's Loose Oversized Drop Shoulder T-Shirt With Slogan Print,,,4
,22,0,Dad Of Girls Shirt For Fathers Day Gift Mens T-Shirt,,,15
,31.09,0.07,Men 4pcs/Set Summer Solid Color Multiple Pockets Drawstring Beach Casual Sport Running Shorts,8,in Knitted Fabric Men Shorts,
800,11.69,0.13,Manfinity Homme Men Slant Pocket Bermuda Shorts,,,
,10.63,0.17,Manfinity Mode Men's Color Block Short Sleeve Polo Shirt,3,in Polyester Men Polo Shirts,5
,4.8,0.51,ROMWE Street Life Men's Tropical Pattern Drawstring Waist Shorts,5,in Orange Men Bottoms,8
8200,7.47,0.15,Manfinity Men's Letter Printed T-shirt,,,11
,19,0,Sunday Funday Mens T-Shirt,,,10
,4.45,0.48,Manfinity LEGND Men's Letters And Cross Print Round Neck Short Sleeve T-Shirt,6,in Slogan Men Clothing,6
10,10.79,0.07,Manfinity VCAY Men Beach Outfits Summer Vacation Basic Woven Casual Surfing Seaside Beach Fit Hawaiian Shirt Beachwear Kimono,,,
1300,11.59,0.41,Manfinity Homme Men's Fashionable Leisure Polo Shirt And Shorts Set,,,9
,10.92,0.17,ROMWE Prep Men Letter Graphic Drawstring Waist Shorts,4,in Back to school clothes,12
4200,7.89,0.12,Manfinity Homme Men Cross Print Tee,,,7
,18,0,Spill Ur Guts Music Mens T-Shirt,,,18
2500,10.35,0.17,Manfinity Mode Men's Solid Color Buttoned Half Placket Short Sleeve Polo Shirt,,,8
,13.19,0.14,Manfinity Homme Men Color Block Round Neck Short Sleeve T-Shirt And Drawstring Waist Shorts Casual Set For Summer,6,in All Over Print Men Co-ords,5
1700,6.99,0.28,Manfinity Homme Men Cotton Astronaut Print Tee,,,4
,16.49,0.14,"ROMWE Street Life Men's Portrait Print Crinkle Dye Short Sleeve Y2k T-Shirt, Suitable For Daily Wear In Spring And Summer",6,in Figure Men Tops,
2700,9.19,0.13,Men's Slogan Printed Short Sleeve T-shirt,,,
70,11.78,0.53,Manfinity Homme Loose Fit Men's Puffer Coat With Zipper Front,,,4
400,6.69,0.44,Manfinity Homme Men Striped Trim Polo Shirt,,,11
600,3.91,0.59,Manfinity LEGND Men's Hollow Out Round Neck T-shirt,,,4
1000,6.15,0.39,Manfinity Homme Men Rainbow Striped Print Tee,,,
,11.77,0.11,Manfinity Swimmode Men's Random Printed Simple Daily Beach Shorts,3,in Animal Men Beach Shorts,9
2500,18.39,0.07,Manfinity RSRT Men Ombre Shirt & Drawstring Waist Shorts,,,4
,21,0,Straight Outta Giants Nation   Mens T-Shirt,,,14
900,7.99,0.07,Men's Drop-Shoulder T-Shirt With Slogan And Face Print,,,6
10000,18.99,0.06,Manfinity RSRT Men Solid Pocket Patched Shirt & Shorts,,,4
2900,9.69,0.15,Manfinity Homme Men T-Shirts Fit Crew Neck Short Sleeve Summer,,,10
