selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
100,12.4,0.14,SHEIN Young Girl Summer 2pcs/Set Strawberry & Letter Print Short Sleeve T-Shirt And Embroidered Elastic Waistband Denim Shorts With Belt,,,8
,7.41,0.18,"Tween Girl Casual Minimalist Letter Print Round Neck T-Shirt Set, Suitable For Summer",,,
10000,2.77,0.37,SHEIN Young Boy Slogan Graphic Tee,,,
800,6.7,0.13,Young Girl 2pcs Knit Bell Bottom Leggings Set For Spring And Autumn,8,in Young Girls Bottoms,5
1200,7.5,0.14,SHEIN Young Girl Knot Hem Tank Top & Striped Paperbag Waist Belted Shorts,,,8
,9.8,0.07,"Tween Girl Floral Printed Bikini Set, Holiday Style",9,in Tween Girls Clothing,
5200,11.35,0.33,Tween Girl Floral Print Ripped Flare Leg Jeans,,,4
,7.3,0.14,SHEIN Young Girl Floral & Letter Graphic Tee & Ruffle Trim Skirt,,,6
2800,5.28,0.27,SHEIN Tween Boys'  Round Neck Printed Knitted Short Sleeve T-Shirt,,,10
6200,8.2,0.15,SHEIN Young Girl Butterfly Print Knot Hem Tee & Flare Leg Pants,,,6
60,11.2,0.13,SHEIN Tween Girls' Casual Knitted Hoodie With Back Pattern & Slogan Print For Autumn And Winter,5,in Tween Girls Sweatshirts,
2500,19,0.14,Tween Girl 3pcsset Solid Color Knitted Round Neck Top And Shorts Casual Vacation Outfit,,,4
,8,0.12,SHEIN Tween Girl 1 Piece Of Fashionable Casual Letter Printed Fleece Round Neck Sweatshirt,3,in Tween Girls Sweatshirts,4
1800,9,0.14,SHEIN Young Girl Bear Print Tee & Plaid Pleated Skirt,,,
,7.93,0.23,SHEIN Tween Girl Letter Graphic Cami Romper & High Low Hem Tee,,,
1600,9.41,0.18,SHEIN Tween Girl Trendy Street Style Spring/Summer Knit Round Neck Short Sleeve And Shorts Set,,,9
2000,1,0.09,"200pcs Headband For Girls, Black Solid Color Elastic Hairband For Daily Use, Simple And Durable, Thick Ponytail Headband, Simple And Elegant Style, High Elasticity And Seamless Hair Accessories",,,
1500,5.5,0.14,SHEIN Tween Girl One Shoulder Top & Daisy Floral Print Shorts,,,
2900,0.97,0.31,"10pcs Various Cute Rings Set, Girls Candy Color Rings, Ideal Gifts For Kids, Without Box",,,
400,17.33,0.08,SHEIN New Arrival Tween Girls' Light Blue Y2K Love Heart Letter Printed Ripped Snowflake Denim Pants,5,in Tween Girls Jeans,4
100,10.19,0.14,SHEIN Teen Girls Letter Graphic Drop Shoulder Tee & Biker Shorts,,,8
,4.85,0.08,SHEIN Tween Girl Casual Rainbow Striped Adjustable Strap Casual Dress,1,in Tween Girls Dresses,
4300,6.02,0.46,"Teen Girl 3pcs Casual Short Knit T-Shirt Set, , Round Neck",,,
,8.6,0.08,SHEIN Tween Girl Casual Solid Color Round Neck Short-Sleeved Dress With Side Cinched Drawstring Hem,,,4
600,12.6,0.07,SHEIN Tween Girls' Knitted Solid Color Sleeveless Bodycon Dress Set With Round Neck And Outerwear,6,in Tween Girls Dresses,4
1800,10.7,0.07,SHEIN Sensorimotor Kids Tween Girl's Tropical Plant Printed One-Piece Swimsuit And Swim Shorts Set,2,in Tween Girls One-Pieces,
,8,0.15,SHEIN Sensorimotor Kids Young Girls' Tropical Print One-Piece Swimsuit With Swimming Trunks 2pcs/Set,4,in Young Girls Beachwear,7
,8.9,0.14,Young Girl Heart Print Bow Front Peplum Tank Top & Button Shorts,,,7
,2.75,0.45,Young Boy Casual Simple Slogan Print Short Sleeve Round Neck T-Shirt Suitable For Summer,,,
5400,12,0.14,SHEIN Tween Girl Tie-Strap Sleeveless Solid Colored Top And Solid Colored Vacation Style Cami Dress Two-Piece Set,,,
400,10.49,0.08,Tween Girl Floral Print Bikini Swimsuit With Kimono Matching Set,,,
1400,8.7,0.11,Teen Girls' Slogan & Printed Short Sleeve T-Shirt And Shorts Set,4,in Teen Girls Sets,6
2200,3.11,0.38,"SHEIN Girls' Cute Fun Letter Rocket Smiling Face Print Casual Comfortable Daily Round Neck Short Sleeve T-Shirt, Summer",,,10
,5.9,0.16,"Young Girl Chevron Pattern Cami Cover Up, Mommy And Me Matching Outfits (Sold Separately)",8,in Young Girls Beachwear,
2700,7,0.15,SHEIN Young Girl Summer Vacation Solid Color Short Sleeve Top And Tropical Print Shorts Outfit,5,in Young Girls Clothing,5
,7.98,0.18,SHEIN Tween Girls' Casual Round-Neck Tie-Dye Drop-Shoulder T-Shirt And Cycling Shorts,,,
,7.9,0.14,SHEIN Young Girl Eyelet Embroidery Trim Batwing Sleeve Tee & Shorts,,,
4600,9.5,0.07,SHEIN Tween Girl Tie Dye Drawstring Side Ruched Side Fitted Dress,,,4
5100,6.55,0.23,SHEIN Toddler Girls' Knitted Solid Color Short Tank Top For Summer 3pcs/Set,,,
1400,6.9,0.08,"Young Girl 3Pcs/Set Lovely And Elegant Flower Printed Camis And Shorts With Bag For Traveling, Beach, Home And Spring Break Season",,,
200,17.1,0.07,SHEIN Tween Girls Cute Star Print Washed Denim Straight Leg Jeans,4,in Tween Girls Jeans,
2200,11.7,0.15,SHEIN Young Girl Cami Romper & Flap Pocket Button Front Shirt,,,8
